Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM
csk-wtcat_apo_seed-1332499_sample-4_model,csk-wtcat_apo/seed-1332499_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.78,73.69,14.69,,,6.43,13.79,2.77,,,,,3.48,8.09,7.34,9.81,4.02,8.03,4.96,3.39,3.61,3.52,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-0_model,csk-wtcat_apo/seed-1336202_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.65,75.63,13.99,,,6.44,13.6,2.77,,,,,3.47,8.07,7.36,9.81,3.72,8.12,4.59,3.2,3.62,3.52,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-1_model,csk-wtcat_apo/seed-1336202_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.56,74.41,14.04,,,6.43,13.7,2.75,,,,,3.44,8.12,7.35,9.83,3.71,8.14,4.65,3.27,3.74,3.55,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-2_model,csk-wtcat_apo/seed-1336202_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.02,72.06,13.97,,,6.34,13.54,2.77,,,,,3.43,8.01,7.28,9.75,3.72,7.99,4.47,3.18,3.6,3.53,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-3_model,csk-wtcat_apo/seed-1336202_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.57,74.88,14.68,,,6.41,13.6,2.69,,,,,3.45,8.05,7.31,9.8,3.75,8.12,4.53,3.2,3.55,3.51,N/A,0.93
csk-wtcat_apo_seed-1336202_sample-4_model,csk-wtcat_apo/seed-1336202_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.02,74.27,14.32,,,6.44,13.74,2.72,,,,,3.45,8.08,7.32,9.78,3.67,8.05,4.55,3.21,3.67,3.54,N/A,0.93
csk-wtcat_apo_seed-136750_sample-0_model,csk-wtcat_apo/seed-136750_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.19,72.66,15.17,,,6.39,14.18,2.76,,,,,3.49,8.1,7.34,9.84,4.11,8.09,4.91,3.37,3.54,3.51,N/A,0.93
csk-wtcat_apo_seed-136750_sample-1_model,csk-wtcat_apo/seed-136750_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.62,76.19,14.26,,,6.4,13.64,2.72,,,,,3.43,8.13,7.38,9.81,3.73,8.05,5.02,3.32,3.61,3.54,N/A,0.93
csk-wtcat_apo_seed-136750_sample-2_model,csk-wtcat_apo/seed-136750_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.95,72.72,13.76,,,6.38,13.44,2.75,,,,,3.4,8.07,7.32,9.81,3.8,8.09,4.55,3.23,4.4,3.54,N/A,0.93
csk-wtcat_apo_seed-136750_sample-3_model,csk-wtcat_apo/seed-136750_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.64,76.16,14.42,,,6.35,13.82,2.77,,,,,3.47,8.1,7.34,9.78,3.64,8.15,4.65,3.24,3.71,3.53,N/A,0.93
csk-wtcat_apo_seed-136750_sample-4_model,csk-wtcat_apo/seed-136750_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.73,77.49,14.45,,,6.33,13.75,2.75,,,,,3.42,8.09,7.38,9.83,3.71,8.04,4.98,3.33,3.56,3.53,N/A,0.93
csk-wtcat_apo_seed-1368324_sample-0_model,csk-wtcat_apo/seed-1368324_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.68,75.16,13.9,,,6.41,13.51,2.78,,,,,3.4,8.11,7.38,9.83,3.74,8.08,5.04,3.3,3.63,3.52,N/A,0.93
csk-wtcat_apo_seed-1368324_sample-1_model,csk-wtcat_apo/seed-1368324_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.29,74.89,14.61,,,6.37,13.72,2.76,,,,,3.47,8.14,7.36,9.76,3.67,8.04,5.01,3.31,3.61,3.54,N/A,0.93
csk-wtcat_apo_seed-1368324_sample-2_model,csk-wtcat_apo/seed-1368324_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.61,74.87,14.91,,,6.41,13.57,2.68,,,,,3.42,8.1,7.37,9.74,3.72,8.05,5.01,3.33,4.03,3.52,N/A,0.93
csk-wtcat_apo_seed-1368324_sample-3_model,csk-wtcat_apo/seed-1368324_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.51,73.34,13.93,,,6.41,13.48,2.77,,,,,3.45,8.11,7.32,9.82,3.71,8.13,4.61,3.22,3.58,3.52,N/A,0.94
csk-wtcat_apo_seed-1368324_sample-4_model,csk-wtcat_apo/seed-1368324_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.63,71.97,13.99,,,6.45,13.64,2.71,,,,,3.43,8.12,7.31,9.88,3.68,8.16,4.51,3.18,3.55,3.51,N/A,0.94
csk-wtcat_apo_seed-1390232_sample-0_model,csk-wtcat_apo/seed-1390232_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.24,74.89,14.27,,,6.38,13.73,2.65,,,,,3.46,8.02,7.31,9.77,3.76,8.03,4.54,3.19,3.62,3.53,N/A,0.93
