Simulation_ID,Condition_designed,Condition_reviewed,Macro_State
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1345148_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1345148_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1345148_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-142199_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-142199_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-142199_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-142199_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-142199_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1496640_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1496640_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1496640_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1496640_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1496640_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1618795_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1618795_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1618795_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1618795_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1618795_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1664734_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 3
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1664734_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1664734_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1664734_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1664734_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1935628_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1935628_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1935628_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1935628_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-195758_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-195758_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-195758_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-195758_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-195758_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1992167_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1992167_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1992167_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-1992167_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-216712_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-216712_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-216712_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-216712_sample-3_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-216712_sample-4_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
a-csk-wtcat-apo_b-src-wtcat-holo_seed-217710_sample-0_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-217710_sample-1_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 1
a-csk-wtcat-apo_b-src-wtcat-holo_seed-217710_sample-2_model,"csk-wtcat-holo
src-wtcat-apo","csk-wtcat-holo
src-wtcat-apo",State 2
