chainA_metric,chainB_metric,homologous,rho_raw,p_raw,rho_partial,p_partial,n_conditions,fdr_raw,fdr_partial
DFG_Mg_Dist,aCb4_aE_Dist,False,-0.03132116040896683,0.4641015304805203,-0.013383001634553122,0.7562302257481466,4,0.7364255690269412,0.9114869683717477
Substrate_Clearance_Angle,D2_Dist,False,-0.030959297206731157,0.46765979365597654,-0.0737575446755145,0.0853841747222095,4,0.7400330800709959,0.3522341441752253
Substrate_Clearance_Angle,Mg_Hijack_Dist,False,-0.05192364000919023,0.4691494697479661,-0.04683340590263282,0.5182621603074313,2,0.7403564234926808,0.7854627734748263
Psi_D,D2_Dist,False,0.02566416688300848,0.4751307839680514,0.029245946506418475,0.4199631999110405,7,0.7477468075562776,0.7372830442746678
Substrate_Clearance_Angle,aCb4_aE_Dist,False,0.030274442450017376,0.477570421270487,0.05308370524879458,0.21608750396179444,4,0.7494889128611046,0.5600228249998992
Substrate_Clearance_Angle,Interface_N_Lobe_Rec_Dist,False,0.030107510080466398,0.48000335857230025,0.012211028736861739,0.7761821796132435,4,0.7494889128611046,0.9114869683717477
DFG_Mg_Dist,DFG_ATP_Dist,False,0.051118962324850865,0.48066027193371696,0.05526014974381951,0.45059916352276574,2,0.7494889128611046,0.7594453866368682
Shell_M118_M120_Dist,Spine_Bridge_Dist,False,0.025233259603932145,0.48257943765917055,0.02003434787824273,0.580686134349508,7,0.7494889128611046,0.8315086617029244
SB_Dist,K105_E107_Dist,False,0.025223796326004046,0.4827437268601906,0.027256253001906403,0.45229814215759667,7,0.7494889128611046,0.7594453866368682
SB_Dist,Spine_Bridge_Dist,False,0.025084223923002556,0.4851703188012402,0.023219071724622065,0.5220291251745559,7,0.7500939140757472,0.7854627734748263
D1_Dist,K105_E121_Dist,False,0.02505163239407831,0.4857378992191905,0.029671313710190186,0.4132305247536532,7,0.7500939140757472,0.7346320440064946
DFG_ATP_Dist,Y156_N99_Dist,False,-0.02958652277742974,0.48763954585917624,-0.017283916757660334,0.6873712004942449,4,0.7510170545852554,0.8832700042461599
Shell_M118_M120_Dist,Interface_N_Lobe_Rec_Dist,False,-0.024742954970715332,0.4911312327846642,-0.01728828742696203,0.6336094602054125,7,0.7543775735572441,0.8684477332761428
K105_E121_Dist,Mg_Hijack_Dist,False,-0.0454943912444821,0.49563863741599823,-0.03751087241955266,0.579509467566262,3,0.7583203121018133,0.8315086617029244
V104_RS2_Dist,Substrate_Clearance_Angle,False,0.045381423880395524,0.49671102512643195,0.044615863266331476,0.5097782983062684,3,0.7583203121018133,0.7854627734748263
PLoop_ATP_Dist,DFG_ATP_Dist,False,-0.04846910070025424,0.4992782198235306,-0.05218880562559248,0.47150823482950743,2,0.7583203121018133,0.7650387134135106
Cleft_Gape_Dist,K105_E121_Dist,False,0.024245752464634184,0.499885576223736,0.024667140872786302,0.4964005483859597,7,0.7583203121018133,0.781691155195417
K105_N99_Dist,D1_Dist,False,0.024223417519095965,0.5002807614560574,0.029092868772433972,0.4224017441156951,7,0.7583203121018133,0.7372830442746678
I150_HRD_Dist,K105_E107_Dist,False,-0.024017936917453322,0.503924191133315,-0.013886818545468938,0.701825217554183,7,0.7618381472251691,0.8832700042461599
Spine_Bridge_Dist,K105_E121_Dist,False,0.023937251299467832,0.5053586580926028,0.025341474683484883,0.4846983731360681,7,0.7619423114924849,0.7748720392242326
D1_Dist,Cleft_Gape_Dist,False,0.023865351902324975,0.5066387244819821,0.04432842918434468,0.22138565757726614,7,0.7619423114924849,0.5667472833978013
Psi_D,DFG_Mg_Dist,False,-0.0439006616778227,0.510880342723876,0.0007454186939260265,0.9912186780302681,3,0.7627783547820125,0.99288449464682
Mg_Hijack_Dist,Interface_N_Lobe_Rec_Dist,False,0.028023695447846247,0.5109327270062596,0.03988257250854862,0.3528918385273103,4,0.7627783547820125,0.681085056824085
V104_RS2_Dist,PLoop_ATP_Dist,False,0.04387088148138573,0.5111674391421126,0.027328518401960017,0.686505977397077,3,0.7627783547820125,0.8832700042461599
aCb4_aE_Dist,Substrate_Clearance_Angle,False,-0.043052036450105705,0.5190941238422506,-0.05664376869721395,0.40246250326079247,3,0.7726052075791637,0.7199329250876287
K105_N99_Dist,DFG_ATP_Dist,False,0.042768548066009146,0.5218529678361061,0.056756828982960646,0.40152199747468353,3,0.7747095604989617,0.7199329250876287
Phi_D,DFG_Mg_Dist,False,0.04161421183548502,0.5331633582301578,0.0735438663906921,0.2766718173656888,3,0.7880999887878155,0.6129344877024491
V104_RS2_Dist,DFG_ATP_Dist,False,0.041566721504895224,0.5336312941895525,0.04135037650915759,0.5412794745019438,3,0.7880999887878155,0.8014832321674027
HRD_ATP_Dist,Interface_N_Lobe_Rec_Dist,False,0.026448868195262952,0.5349775965556178,0.0384275916847498,0.370749980609153,4,0.7880999887878155,0.6933506130872471
SB_Dist,Psi_D,False,-0.022212356448956343,0.5365302372471983,-0.04713135255693059,0.19350327423455171,7,0.7883709608530262,0.5301216922996549
I150_HRD_Dist,Spine_Bridge_Dist,False,0.021868735649564267,0.5428532866344387,0.018308532285877546,0.61370787832921,7,0.7905078552173601,0.8579993638777306
Shell_M118_M120_Dist,Substrate_Clearance_Angle,False,-0.04055266802354047,0.5436718804889791,-0.052397567826481375,0.43872384430518396,3,0.7905078552173601,0.7520980188088868
K105_E107_Dist,K105_E121_Dist,False,-0.0217897573073474,0.5443118021901416,-0.018576662514246146,0.6085235235872506,7,0.7905078552173601,0.8549013404542838
DFG_ATP_Dist,Shell_M118_M120_Dist,False,-0.025833473267842914,0.5445257236072252,-0.02417914091469711,0.5734200799727123,4,0.7905078552173601,0.8277944011636147
D2_Dist,D2_Dist,True,-0.021760826581056148,0.5448465599327985,-0.013535376332326671,0.7090238840381959,7,0.7905078552173601,0.8881713329947933
K105_E107_Dist,Phi_D,False,-0.021242118567693584,0.554478328480831,-0.018480182969226787,0.6103867357177861,7,0.8024610985049213,0.855432505531496
K105_E107_Dist,DFG_Mg_Dist,False,-0.0391624204367029,0.5575870171218626,-0.0450471645020602,0.5056899160350463,3,0.8049376487774258,0.783003740957491
I150_HRD_Dist,K105_N99_Dist,False,-0.020873367129239238,0.5613757328872837,-0.02524929988905439,0.48628909821552835,7,0.8083810553576884,0.7748720392242326
Cleft_Gape_Dist,PLoop_ATP_Dist,False,0.03824305940719344,0.5668823859824623,0.03060517615395897,0.6512537254449988,3,0.8142749484436367,0.8738944791656417
Psi_D,Interface_C_Lobe_Donor_Dist,False,0.020421921508454094,0.5698758630162137,-0.009360322449498975,0.7963653720859423,7,0.8143156698768956,0.9248113998417394
Y156_N99_Dist,D220_HRD_Dist,False,0.020391225317918118,0.5704560480959526,0.0012762739481777528,0.971932650693317,7,0.8143156698768956,0.9857290404147323
K105_N99_Dist,Mg_Hijack_Dist,False,-0.03782318385807826,0.571151962899767,-0.07649969364729303,0.25775403210399395,3,0.8143156698768956,0.5986545261770182
V104_RS2_Dist,D220_HRD_Dist,False,-0.02012524659707223,0.5754949983090847,-0.03886986370266996,0.28367136986540853,7,0.8178048708300745,0.6212726579561799
Shell_M118_M120_Dist,K105_E107_Dist,False,-0.02003863583836627,0.5771403489623175,-0.029128733827949647,0.4218296689972112,7,0.8178048708300745,0.7372830442746678
Interface_N_Lobe_Rec_Dist,DFG_ATP_Dist,False,0.037166613730487096,0.5778586500483338,0.054917874528712586,0.416981386884935,3,0.8178048708300745,0.7367523890973086
Substrate_Clearance_Angle,DFG_Mg_Dist,False,-0.03966963107891047,0.580383839824623,-0.04648785004643218,0.521358320399635,2,0.8193654209288797,0.7854627734748263
K105_N99_Dist,Interface_N_Lobe_Rec_Dist,False,0.019408427267757454,0.5891785061215964,0.006427940555446236,0.8593445936354456,7,0.8281727091566439,0.9518893960269551
Mg_Hijack_Dist,V104_RS2_Dist,False,-0.022993988428113874,0.5896440651372468,-0.028833630216472745,0.5019283018409586,4,0.8281727091566439,0.781691155195417
Y156_N99_Dist,I150_HRD_Dist,False,0.019239018057133746,0.5924341337286287,0.017802614726688575,0.6235423912605995,7,0.8281727091566439,0.8601876798435784
DFG_Mg_Dist,DFG_Mg_Dist,True,-0.03879779708109355,0.5926088499114661,-0.00650656026764213,0.9292894140125263,2,0.8281727091566439,0.9768735567494814
D1_Dist,DFG_ATP_Dist,False,0.03545507151432848,0.5955120288255746,0.04116277374339751,0.5431180494488297,3,0.8281727091566439,0.8021435807244254
Interface_C_Lobe_Donor_Dist,DFG_ATP_Dist,False,0.03537017484815845,0.5963939914845335,0.04400726232731114,0.5155763590927407,3,0.8281727091566439,0.7854627734748263
SB_Dist,PLoop_ATP_Dist,False,0.03522123386507124,0.5979427115744216,0.03984350943844612,0.5561336837749602,3,0.8281727091566439,0.8130279234882667
Phi_D,DFG_ATP_Dist,False,0.035203740082411054,0.5981247343909095,0.04547770373586302,0.501625879305148,3,0.8281727091566439,0.781691155195417
